Title	Who	What	Link	Category
Susmeet Jain	Susmeet Jain	YouTube - Making sense of a non-linear life	https://youtu.be/h9OomoaeUzA	
	Suvojit Manna		https://www.instagram.com/reel/DGqHbS4yGRb/?igsh=YjE3NXM4dzFkdHpr	
The Sound of Violence	Tanaya Singh	A woman documenting one of the most common experiences in the lives of women everywhere–violence.	https://thesoundofviolence.substack.com/about	
Strict Figures	Tapasya Pandey	Unfiltered insights into how parenting has impacted Millennials' and GenZ's	https://www.instagram.com/strict_figures/	
The Marginal Economist	Vasudha Nukala	Instagram - Comics on Academia	https://www.instagram.com/p/DJl2vP6yA5f/?igsh=amtoa2FxaXJsaWxn	
Vikrchan	Vikram Chandrashekhar	Substack on music, humour, Thindi , IT , Nature	https://substack.com/@vikrchan	
The Compunding Compass	Yvonil Dsouza	My mission is to cut through the noise and help you zero in on what truly matters in personal finance	https://yrdsouza.substack.com/	
Between Spoons and Stories	Neha Sethi	Substack - A blog on topics that interest me, from cooking, food and food systems, pop culture, to travel, urban design, and architecture, underpinned by theories in anthropology and their application.	https://nehaxsethi.substack.com/?utm_campaign=profile_chips	
The Silent Whisperer	Avichal Sharma	Notes and Emotional Reflections on Photography and Poetry	https://silentwhisperer.substack.com/?utm_campaign=profile_chips	
Surface Area of Serendipity	Cherub Kapoor	Substack that explores chance encounters, shifting paths, and his time at HBS	https://substack.com/home/post/p-170587855	
Paw Sensei	Raji	Substack - Paw Sensei is for the ones holding the leash, doing the work, asking the questions, and learning along the way. A blog to help you communicate with clarity and empathy to build trust and a joyful life with your dog.	https://substack.com/@pawsensei	
Dr Strange Laugh	Anshuman Agrawal	Substack - Personal Essays	https://anshumanagrawal.substack.com/?utm_campaign=profile_chips	
Jois of Life	Nikhil Jois	Substack - Curated content, stories, and insights for the curious and ambitious	https://nikhiljois.substack.com/?utm_source=substack&utm_medium=email	
The Cabinet of Elsewhere	Anoopa	The Cabinet of Elsewhere is a newsletter about material and visual culture. Collected, catalogued, and curated by Anoopa.	https://cabinetofelsewhere.substack.com/?utm_campaign=profile_chips	
The Luck Coach	Ziad	"""I'mperfect""
A YouTube show about embracing imperfection and being brave enough to keep showing up. "	https://www.youtube.com/@theluckcoach/videos	
Fantastic beasts and How To Save Them	Yashaswini and Vinay	Podcast: A guide to understanding the numerous creatures that inhabit the world along with us,	https://open.spotify.com/show/0Ixpdkcp5n895OFYwWMH2m	
The Comic Dreamer	Abhishek Singh	"Substack:
Stories of a millennial, middle aged house husband. An ex engineer, ex lawyer, entrepreneur who tried, and a serial quitter who’s oddly proud of it. Mostly confused, always hopeful. These are my little rants about life, funny, messy and yet relatable."	https://substack.com/@thecomicdreamer	
Missing the Obvious	Amit Tripathi	Substack: Confused Indian with a love for cricket, whiskey, and popular culture. Trying to understand why people make questionable decisions.	https://missingtheobvious.substack.com/?utm_campaign=profile_chips	
User Manual not Included	Devashish Bansal	"Substack:
Adulting in your late 20s and 30s doesn’t come with instructions. In this newsletter, I explore how peers are juggling careers, relationships, dreams, and doubts - excelling each in their own way."	https://devashishbansal.substack.com/?utm_campaign=profile_chips	
Sheconomics	Esha Modi	Substack: model-behavioral science student musing at the intersection of feminine economics, cultural psychology and applied life design	https://esha22.substack.com/	
Loops and Ladders	Nandha KS	Substack: A lens to reveal hidden patterns around you and inside the game.	https://nandhaks.substack.com/	
Threads and Echoes	Nithish Umesh	A light touch exploration of our world through a lens of history, culture, and systems.	https://nithishumesh.substack.com/?utm_source=%2Fsearch%2Fthreads%2520and%2520echoes&utm_medium=reader2&utm_campaign=reader2	
Prasanna Diwanji	Prasanna Diwanji	Substack: Besides working for getting business problems solved, I love travelling, playing sports (at an enjoyment level now) and follow Cricket regularly	https://prasannatravel.substack.com/?utm_campaign=profile_chips	
The looking glass	Tejas Suresh	Substack: lost capsules from a future where interacting with art is the only means of survival.	https://dystwrite.substack.com/?utm_campaign=profile_chips	
State Overflow	Vaibhav Bhandari	Substack: Making sense of everyday decisions—through data, stories, and the space in between.	https://stateoverflow.substack.com/?utm_campaign=profile_chips	
The Anecdotist	Haritha	Tales that bring comfort, strength, and a safe haven to others, just as they did for her.	https://substack.com/@theanecdotist	
Lazy Coach	Anish Raju	Actionable fitness advice for your busy life - no guesswork, no BS.	https://yourlazycoach.substack.com/	
